age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
22-24,Male,France,Masters,Software Engineer,"1000-9,999 employees",I do not know,"30,000-39,999",basic,1-2 years
40-44,Male,India,Coursework,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",advance,I have never written code
55-59,Female,Germany,Coursework,Other,,,,intermediate,
40-44,Male,Australia,Masters,Other,"> 10,000 employees",I do not know,"250,000-299,999",advance,1-2 years
22-24,Male,India,Bachelors,Other,0-49 employees,No (we do not use ML methods),"4,000-4,999",advance,< 1 years
50-54,Male,France,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,20+ years
22-24,Male,India,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,3-5 years
22-24,Female,United States of America,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,3-5 years
22-24,Male,United States of America,Bachelors,Student,,,,advance,3-5 years
55-59,Male,Netherlands,Masters,Other,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,5-10 years
18-21,Male,India,Coursework,Student,,,,basic,< 1 years
30-34,Male,Germany,Masters,Statistician,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",basic,5-10 years
30-34,Male,Germany,Bachelors,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,5-10 years
30-34,Male,United States of America,Masters,Product/Project Manager,"> 10,000 employees",I do not know,"90,000-99,999",basic,3-5 years
25-29,Male,India,Bachelors,Other,"1000-9,999 employees",,,intermediate,
50-54,Female,United States of America,Masters,Data Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",basic,10-20 years
18-21,Male,Australia,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,1-2 years
18-21,Male,India,Coursework,Student,,,,advance,1-2 years
35-39,Male,France,Masters,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,intermediate,3-5 years
25-29,Male,France,Doctoral,Research Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,5-10 years
22-24,Female,Ireland,Masters,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,1-2 years
35-39,Male,United States of America,Bachelors,Other,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",basic,5-10 years
25-29,Male,India,Masters,Business Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),$0-999,basic,< 1 years
40-44,Male,Russia,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",advance,1-2 years
25-29,Male,Greece,Masters,Research Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",intermediate,5-10 years
30-34,Male,Greece,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"20,000-24,999",advance,1-2 years
